FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.jsonwebtoken.SignatureAlgorithm.java.Header.java.Header,Header,0.170797339914987,1,19,1,0,0,36,0.0,6,113,0.0,0,11,0,6,6,0.0,6
io.jsonwebtoken.lang.SignatureAlgorithm.java.Collections.java.Collections,Collections,0.1366378719319896,2,1,2,0,0,324,0.0,11,338,0.052631578947368474,5,18,0,18,21,0.0,56
io.jsonwebtoken.impl.compression.SignatureAlgorithm.java.DefaultCompressionCodecResolver.java.DefaultCompressionCodecResolver,DefaultCompressionCodecResolver,0.170797339914987,11,1,11,1,0,4,0.0,31,48,0.6666666666666667,4,2,0,2,5,0.0,5
io.jsonwebtoken.SignatureAlgorithm.java.CompressionException.java.CompressionException,CompressionException,0.1366378719319896,1,1,1,1,0,0,0.0,20,16,0.0,2,0,0,0,0,0.0,0
io.jsonwebtoken.lang.SignatureAlgorithm.java.Classes.java.Classes.ExceptionIgnoringAccessor,ExceptionIgnoringAccessor,0.1366378719319896,1,1,1,1,0,16,0.0,25,38,0.8,0,4,3,4,4,0.0,6
io.jsonwebtoken.lang.SignatureAlgorithm.java.Classes.java.Classes.ClassLoaderAccessor,ClassLoaderAccessor,0.1366378719319896,0,1,0,0,0,4,0.0,19,8,0.6666666666666667,0,2,1,2,2,0.0,2
io.jsonwebtoken.impl.SignatureAlgorithm.java.DefaultJwtBuilder.java.DefaultJwtBuilder,DefaultJwtBuilder,0.08324763471822297,23,1,23,1,2,530,0.6153846153846154,17,350,1.0,39,38,0,30,52,0.20333333333333334,59
io.jsonwebtoken.impl.compression.SignatureAlgorithm.java.AbstractCompressionCodec.java.AbstractCompressionCodec.StreamWrapper,StreamWrapper,0.18572603866721513,0,1,0,0,0,1,0.0,13,3,1.0,0,1,2,1,1,0.0,1
io.jsonwebtoken.impl.compression.SignatureAlgorithm.java.AbstractCompressionCodec.java.AbstractCompressionCodec,AbstractCompressionCodec,0.1366378719319896,5,1,5,1,0,36,0.0,24,99,0.2857142857142857,7,6,2,6,9,0.0,7
io.jsonwebtoken.impl.compression.SignatureAlgorithm.java.GzipCompressionCodec.java.GzipCompressionCodec,GzipCompressionCodec,0.10247840394899219,3,1,3,2,2,5,1.0,20,31,0.75,2,5,0,3,5,0.0,3
io.jsonwebtoken.impl.compression.SignatureAlgorithm.java.DeflateCompressionCodec.java.DeflateCompressionCodec,DeflateCompressionCodec,0.10247840394899219,2,1,2,2,2,5,1.0,23,31,0.75,2,5,0,3,5,0.0,3
io.jsonwebtoken.impl.compression.SignatureAlgorithm.java.CompressionCodecs.java.CompressionCodecs,CompressionCodecs,0.1366378719319896,2,1,2,0,0,0,0.0,17,31,0.0,0,3,0,0,0,0.0,0
io.jsonwebtoken.impl.io.SignatureAlgorithm.java.RuntimeClasspathDeserializerLocator.java.RuntimeClasspathDeserializerLocator,RuntimeClasspathDeserializerLocator,0.10247840394899219,4,1,4,0,1,8,1.0,35,43,0.8,2,5,0,4,6,0.0,8
io.jsonwebtoken.impl.io.SignatureAlgorithm.java.InstanceLocator.java.InstanceLocator,InstanceLocator,0.1366378719319896,0,1,0,0,0,1,0.0,15,7,0.5,0,1,0,1,1,0.0,1
io.jsonwebtoken.lang.SignatureAlgorithm.java.Classes.java.Classes,Classes,0.0683189359659948,4,1,4,0,1,113,1.0,7,232,0.6666666666666667,7,14,0,11,13,0.01818181818181818,19
io.jsonwebtoken.impl.SignatureAlgorithm.java.TextCodec.java.TextCodec,TextCodec,0.1366378719319896,4,4,4,0,0,16,0.0,9,29,0.8,0,6,1,4,4,0.0,4
io.jsonwebtoken.lang.SignatureAlgorithm.java.InstantiationException.java.InstantiationException,InstantiationException,0.1366378719319896,0,1,0,0,0,0,0.0,22,9,0.0,0,0,0,0,0,0.0,0
io.jsonwebtoken.impl.SignatureAlgorithm.java.DefaultClaims.java.DefaultClaims,DefaultClaims,0.18572603866721513,3,1,3,1,0,324,0.0,13,144,0.9473684210526316,19,18,0,18,25,0.0,27
io.jsonwebtoken.impl.SignatureAlgorithm.java.AndroidBase64Codec.java.AndroidBase64Codec,AndroidBase64Codec,0.1366378719319896,3,1,3,2,0,4,0.0,18,17,0.6666666666666667,0,2,0,2,2,0.0,2
io.jsonwebtoken.impl.SignatureAlgorithm.java.DefaultClock.java.DefaultClock,DefaultClock,0.1366378719319896,1,1,1,1,0,1,0.0,12,22,0.0,0,2,0,1,1,0.0,1
io.jsonwebtoken.impl.io.SignatureAlgorithm.java.RuntimeClasspathSerializerLocator.java.RuntimeClasspathSerializerLocator,RuntimeClasspathSerializerLocator,0.10247840394899219,4,1,4,0,1,8,1.0,33,43,0.8,2,5,0,4,6,0.0,8
io.jsonwebtoken.impl.SignatureAlgorithm.java.AbstractTextCodec.java.AbstractTextCodec,AbstractTextCodec,0.0,4,4,4,1,1,0,1.0,17,22,0.6666666666666667,3,4,3,2,5,1.0,2
